"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"47",5358,5178.63160444598,5205.28088353186,5324.97482208189,5849.99557905073
"48",5724,5706.23773735442,5687.62637555879,5778.06180974454,6092.79668112645
"49",6194,6044.9856764654,6058.96141429837,6138.73972859909,6707.83848199351
"50",6876,6600.82390941517,6548.71489684858,6602.13548739525,7517.48311546239
"51",7334,7385.57152685094,7278.59494341781,7275.00876147133,7821.55129678033
"52",8145,7709.9492159978,7744.73085237186,7727.18039464192,8976.18111938578
"53",8643,8732.01222908213,8614.27709466594,8528.44636209426,9208.9788890007
"54",8863,9051.44700414987,9116.51794948861,9020.83701058594,9135.30478690141
"55",9325,9208.22313787601,9299.44297473332,9238.44737316905,9821.42406858127
"56",9881,9874.12132524412,9765.15541888543,9695.60427727928,10495.9201385301
"57",10824,10458.5823922474,10338.1006322561,10246.0882046942,11723.3365700168
"58",11587,11548.2956706946,11352.1766254864,11180.504187481,12412.5812866508
"59",12470,12139.6703158856,12149.5689273764,11937.2597844852,13327.6973478151
"60",13275,13095.1668682672,13079.4565292916,12813.8041648659,14115.4621852991
"61",13768,13873.8299654212,13913.0874642297,13613.6288811713,14326.0712826739
"62",14309,14269.2005340217,14384.8874953643,14103.7893489375,14911.4858930428
"63",14901,14934.3048814364,14914.7741842177,14641.9584612592,15511.0309006128
"64",15588,15587.7953430754,15504.7520736579,15231.1990543956,16281.2622943838
"65",16209,16317.8996517991,16203.9259834994,15915.4349179648,16812.3982538375
"66",18488,16879.6947412078,16825.6764016201,16534.3363123555,20228.8065585225
"67",19452,19926.3720746216,19347.7972920245,18808.8121287697,20439.0014860882
"68",20094,19970.7096493678,20327.2035477768,19772.3620183472,20713.4076708765
"69",21242,20651.8414736409,20935.1071714754,20414.5318219457,22364.71954471
"70",22560,22232.4070010234,22127.9679490704,21563.7526771166,23886.2658677905
"71",23911,23639.7926219576,23509.1847753157,22884.5716509865,25233.7678636357
"72",25760,24998.3056215735,24918.9948058245,24239.9879280877,27644.1120174109
"73",26786,27097.2848853308,26891.034815242,26097.4481355206,27858.901644216
