"","OBS","ARIMA","ETS","FTS_SA"
"1",5292,5286.70800612487,4529.94,NA
"2",3563,4699.4213603468,4661.89643344942,NA
"3",5732,4836.31278362701,4471.61423245701,NA
"4",4211,4377.44847999057,4689.85952896304,NA
"5",4982,4877.57747172511,4606.94139185411,NA
"6",2603,4606.87011781511,4671.88561706661,NA
"7",6124,4870.89800954487,4313.64247710005,NA
"8",3822,3965.85749872282,4627.11952876292,NA
"9",5055,4759.95784746781,4487.70701332315,NA
"10",5528,4400.06050534101,4585.9380702514,5551.80072293352
"11",5780,4561.98055490884,4749.06319470106,5981.45097801836
"12",3782,4829.94673641382,4927.57767379587,6220.71538948357
"13",4850,5246.52842887096,4729.21226415176,4100.06653861231
"14",3956,4741.40895598967,4750.12757111836,5337.57412232475
"15",3800,4834.43738414603,4612.61839600271,4332.71230417533
"16",3325,4585.84756342805,4471.9073951735,4216.94991093631
"17",4055,4386.37304187953,4273.31173424934,3723.73488335434
"18",4251,4023.34626979318,4235.50941181843,4523.08440942515
"19",3841,4019.30691792528,4238.19172393096,4688.17592870863
"20",5911,4115.6651875619,4169.41498287965,4243.36166975064
"21",3514,3893.30789338463,4470.98355675593,6440.12406690487
"22",4475,4652.32507989992,4305.27464010992,3817.97636893841
"23",4942,4250.82248161634,4334.66386557381,4956.28472345479
"24",3287,4285.09344623327,4439.82869538228,5394.86921058258
"25",3943,4591.91399102539,4240.20771669189,3622.79643554263
"26",2582,4162.07478317572,4188.74396017888,4406.81328467148
"27",4079,4190.33868018022,3910.52413175118,2931.964115989
"28",3949,3613.55311933973,3939.69699831866,4590.86833006458
"29",3895,3759.77279379408,3941.30788318631,4367.8065961711
"30",3996,3819.29673918331,3933.28932414128,4317.74803345881
"31",3702,3834.74064858247,3944.14815038268,4427.68759630168
"32",4054,3902.39543492917,3902.21837281808,4111.02476016431
"33",2706,3819.23289319237,3928.50050570273,4500.20584531143
"34",5311,3980.53011348006,3716.81532786549,3056.48716636904
"35",3243,3426.6076779486,3992.86042089571,5873.130905707
"36",3112,4123.83128001868,3863.01643652928,3559.13385777063
"37",3791,3872.85620849695,3732.97227934179,3530.31620615819
"38",2318,3601.98880715843,3743.02021658985,4255.68708447183
"39",2200,3758.31741983824,3496.26722420799,2661.85804686346
"40",3019,3341.36037875484,3271.80878300405,2619.06120381856
"41",2271,2948.65575112592,3228.03303654065,3492.11158960832
"42",3326,3020.47551922367,3062.31555209693,2654.60875663138
"43",3429,2727.29861999326,3107.97450191895,3807.48554429087
"44",3216,2896.93354673419,3163.56248681922,3860.80766918052
"45",3092,3068.47750173027,3172.64243750328,3629.6110341287
"46",3427,3120.47368944862,3158.67859156254,3510.71640168711
"47",2403,3089.20274105682,3205.14046605475,3872.22076863867
"48",3136,3258.78440198161,3066.24379777923,2774.29730620313
"49",3361,2956.21903584592,3078.32261001977,3604.25910551129
"50",2856,2993.90955252665,3127.27033093228,3799.85208989286
"51",2952,3136.70544637579,3080.29782828095,3253.01685464886
"52",2678,3047.32074011607,3058.08209219815,3383.39474710143
"53",3643,3037.89794821527,2992.26801285471,3088.11750131369
"54",4078,2865.82241309393,3104.94716168177,4119.13538631684
"55",2903,3065.45846237386,3273.4385955614,4529.01490271366
"56",2799,3444.45334919329,3209.29436035381,3271.10039363657
"57",2559,3291.77957488632,3138.24879903751,3218.86597266683
"58",2485,3162.75265130404,3037.94750307544,2971.06420458531
"59",2723,2989.64749058286,2942.2004747698,2906.59153274372
"60",3499,2824.48775771074,2904.24426021839,3162.60939167446
"61",2614,2741.56666043789,3007.23069986246,3969.75178618346
"62",2884,3025.48667767365,2939.13983998703,2989.75060226858
"63",1641,2885.63257399197,2929.59196104618,3325.45679870623
"64",2464,2970.00455294697,2706.46254951526,2000.64652772491
"65",4188,2521.65636823535,2664.47833137091,2936.32350595434
"66",5143,2386.95367318226,2928.28759268263,4696.23781741296
"67",3134,2853.21744544208,3311.78174063133,5624.06610386575
"68",1509,3666.03692567268,3280.99749211265,3453.74242710456
"69",1398,3619.97323850706,2974.16276894058,1844.92628758829
"70",912,3004.63960216257,2701.23830429847,1817.71612605513
"71",2745,2563.72542695627,2391.41820453425,1310.15373881744
"72",1004,1951.20007108372,2452.64355773781,3274.44711550123
"73",2263,2304.28629508387,2201.80000576216,1333.92304282234
"74",456,1834.64870825762,2212.3972460933,2761.4349102631
