"","OBS","ARIMA","ETS","FTS_SA"
"1",1589,1587.41100128746,1270.30734375,NA
"2",1324,1532.17267476489,1338.3608076327,NA
"3",1142,1421.39276632124,1335.29420824802,NA
"4",936,1317.7340511034,1294.01826366076,1144
"5",1243,1220.95560256205,1217.56723004713,938
"6",1047,1222.83477210219,1222.99813050085,1245
"7",1567,1187.25302293033,1185.41558135021,1049
"8",1355,1271.82820605157,1266.89891943007,1569
"9",1842,1292.27532768722,1285.7119783036,1357
"10",1758,1411.72375218498,1404.50143281553,1844
"11",1610,1486.15168682907,1479.98733279687,1760
"12",1582,1512.67183438984,1507.75017005805,1612
"13",1422,1527.37964766346,1523.60544008438,1584
"14",1635,1505.00582496815,1501.90866731141,1424
"15",2079,1532.77325874756,1530.3289211974,1637
"16",1561,1648.82791179098,1647.49185768968,2081
"17",1110,1630.1239829728,1629.02243143213,1563
"18",1623,1519.66880658838,1518.19065166225,1112
"19",1278,1541.60158893919,1540.57158533547,1625
"20",1416,1485.62952001498,1484.50218571543,1280
"21",2281,1470.85680746424,1469.87426464462,1418
"22",1479,1642.859357294,1643.08163184556,2283
"23",2077,1608.07300076185,1608.04372561324,1481
"24",1091,1707.62721559844,1708.18440427548,2079
"25",1684,1576.71447621968,1576.39116793438,1093
"26",1782,1599.49183820058,1599.36990190525,1686
"27",1793,1638.23904130368,1638.36863796284,1784
"28",1797,1671.09530480575,1671.38853850072,1795
"29",1355,1697.82510755521,1698.21154458746,1799
"30",1774,1625.04249325385,1624.92233005537,1357
"31",1110,1656.66647460019,1656.75629807544,1776
"32",1816,1540.60789088035,1540.00224286267,1112
"33",1003,1599.07426018572,1598.9386602187,1818
"34",1619,1472.52630266345,1471.68222900152,1005
"35",1060,1503.62300219247,1503.14038911695,1621
"36",1041,1409.44080539858,1408.51242115374,1062
"37",1498,1331.21997031728,1330.03401009236,1043
"38",816,1366.62775406312,1365.9013801228,1500
"39",1063,1249.72820914784,1248.47572572718,818
"40",1065,1210.0853788994,1208.86933582659,1065
"41",1242,1179.2834180774,1178.14755276227,1067
"42",1348,1192.59829327063,1191.78257109952,1244
"43",1160,1225.5904342257,1225.14115952958,1350
"44",863,1211.66543359891,1211.23095024052,1162
"45",1201,1137.64295749567,1136.86989443872,865
"46",1327,1151.09380382953,1150.56420378981,1203
"47",1056,1188.43909515995,1188.24021184814,1329
"48",1541,1160.32196968052,1160.00170586327,1058
"49",1204,1241.14079388698,1241.35988321978,1543
"50",719,1233.25571764028,1233.38207320911,1206
"51",1087,1124.07804220805,1123.54119311809,721
"52",1048,1116.20628829441,1115.73820576547,1089
"53",1395,1101.7259359139,1101.27342457539,1050
"54",1537,1163.98869640881,1163.99564455767,1397
"55",1188,1243.17985683198,1243.64680040756,1539
"56",1265,1231.46504590689,1231.76401162201,1190
"57",770,1238.58459403777,1238.86120727535,1267
"58",1443,1139.10300353152,1138.74082919458,772
"59",648,1203.62103708061,1203.7121741105,1445
"60",641,1085.66140889217,1085.04568579224,650
"61",1011,991.258765791706,990.224401248339,643
"62",793,995.449875364195,994.660811788589,1013
"63",768,952.469299700224,951.598267037494,795
"64",985,913.306041737332,912.392788687966,770
"65",1846,928.526834500064,927.89729478732,987
"66",1697,1123.30850447385,1123.94846843215,1848
"67",981,1245.10453268515,1246.31759411382,1699
"68",885,1189.03453101265,1189.66181320901,983
"69",322,1124.48729856245,1124.60448824388,887
"70",1087,954.117393452947,953.21674371439,324
"71",938,982.328677430501,981.78475060502,1089
"72",804,972.91759692992,972.434977758122,940
"73",751,937.056001348496,936.46746030628,806
"74",96,897.555882964591,896.862835399365,753
