date;target
1;1966
2;3049
3;3175
4;2427
5;3022
6;2183
7;3443
8;3369
9;3730
10;2058
11;3732
12;3165
13;3620
14;3356
15;4856
16;3310
17;4340
18;4866
19;5050
20;5133
21;3842
22;3861
23;6298
24;3681
25;3222
26;4165
27;3832
28;3207
29;4402
30;4528
31;2507
32;6777
33;4174
34;3945
35;5801
36;6027
37;4276
38;6020
39;6345
40;6436
41;7038
42;7553
43;6120
44;5560
45;6075
46;7646
47;4998
48;6787
49;6432
50;8235
51;6658
52;6148
53;6783
54;4855
55;7533
56;4499
57;5069
58;7469
59;5480
60;6138
61;3113
62;5603
63;6062
64;6747
65;9687
66;8855
67;9000
68;8573
69;9355
70;5074
71;8916
72;3545
73;8103
74;225
