date;target
1;1444
2;1170
3;1478
4;1047
5;1562
6;970
7;1226
8;873
9;1620
10;1203
11;895
12;1869
13;1336
14;1114
15;1302
16;1118
17;1040
18;978
19;1298
20;1195
21;1298
22;1203
23;2233
24;876
25;1209
26;1342
27;1243
28;1224
29;1547
30;1036
31;1205
32;951
33;1063
34;1373
35;1378
36;1749
37;1240
38;1477
39;1236
40;1375
41;1403
42;1540
43;1496
44;930
45;1614
46;2126
47;1944
48;1471
49;1999
50;1703
51;1600
52;1122
53;1833
54;1353
55;1661
56;1284
57;1869
58;2191
59;1071
60;1931
61;1320
62;1239
63;2073
64;1653
65;2241
66;2825
67;1513
68;1616
69;2405
70;1037
71;2098
72;1248
73;1509
74;239
