date;target
1;1771
2;1435
3;1892
4;1275
5;2273
6;1288
7;1783
8;1179
9;2017
10;1557
11;1210
12;2381
13;1990
14;1563
15;1591
16;1342
17;1291
18;1397
19;1728
20;1480
21;1444
22;1750
23;2736
24;1211
25;1348
26;1499
27;1291
28;1552
29;1941
30;1510
31;1266
32;1763
33;1793
34;1405
35;1612
36;2176
37;1338
38;1705
39;1593
40;1801
41;1733
42;1972
43;1846
44;1082
45;1634
46;2912
47;2238
48;1851
49;3189
50;2123
51;2017
52;1788
53;1737
54;1665
55;1820
56;1735
57;2357
58;2112
59;1538
60;2168
61;1252
62;1805
63;1895
64;1839
65;2825
66;2675
67;2018
68;1899
69;2451
70;1200
71;2362
72;1543
73;2209
74;310
