date;target
1;5292
2;3563
3;5732
4;4211
5;4982
6;2603
7;6124
8;3822
9;5055
10;5528
11;5780
12;3782
13;4850
14;3956
15;3800
16;3325
17;4055
18;4251
19;3841
20;5911
21;3514
22;4475
23;4942
24;3287
25;3943
26;2582
27;4079
28;3949
29;3895
30;3996
31;3702
32;4054
33;2706
34;5311
35;3243
36;3112
37;3791
38;2318
39;2200
40;3019
41;2271
42;3326
43;3429
44;3216
45;3092
46;3427
47;2403
48;3136
49;3361
50;2856
51;2952
52;2678
53;3643
54;4078
55;2903
56;2799
57;2559
58;2485
59;2723
60;3499
61;2614
62;2884
63;1641
64;2464
65;4188
66;5143
67;3134
68;1509
69;1398
70;912
71;2745
72;1004
73;2263
74;456
