date;target
1;1714
2;1238
3;1633
4;1581
5;1515
6;1417
7;1663
8;1376
9;1291
10;1473
11;1360
12;1431
13;1506
14;1542
15;1565
16;1529
17;1369
18;1492
19;1541
20;1532
21;1522
22;1484
23;1530
24;1333
25;1506
26;1561
27;1650
28;1325
29;1743
30;1525
31;1333
32;1333
33;1469
34;1362
35;1493
36;1708
37;1653
38;1613
39;1115
40;1433
41;1526
42;1454
43;1211
44;1310
45;1307
46;1212
47;994
48;1015
49;1285
50;1141
51;1155
52;1040
53;1716
54;961
55;1204
56;1324
57;1075
58;1304
59;1057
60;1175
61;1241
62;852
63;1409
64;1796
65;1479
66;1359
67;1309
68;1211
69;1345
70;1043
71;1211
72;1065
73;1412
74;246
