date;target
1;1561
2;2752
3;2703
4;1023
5;1658
6;3477
7;3858
8;3025
9;2544
10;1354
11;4826
12;1254
13;2369
14;2976
15;6516
16;3446
17;3880
18;4503
19;5394
20;3283
21;3676
22;1431
23;3317
24;6351
25;5936
26;1381
27;3675
28;3278
29;2630
30;1005
31;2815
32;3210
33;3669
34;2299
35;3261
36;3349
37;2065
38;1714
39;5498
40;1381
41;1419
42;2622
43;2286
44;3079
45;2189
46;3244
47;2316
48;1872
49;2129
50;5227
51;1923
52;2127
53;2843
54;1863
55;2130
56;1223
57;2333
58;1256
59;2576
60;1486
61;722
62;1595
63;1776
64;2377
65;5384
66;3012
67;4393
68;3466
69;216
70;343
71;610
72;753
73;1413
74;7
