Time;target
dez/77;0.8
Jan-78;0.8
fev/78;0.7
Mar-78;0.4
abr/78;0.1
mai/78;-0.2
Jun-78;-0.3
Jul-78;-0.3
ago/78;-0.4
set/78;-0.4
out/78;-0.4
Nov-78;-0.3
dez/78;-0.1
Jan-79;0
fev/79;0
Mar-79;0.1
abr/79;0.2
mai/79;0.3
Jun-79;0.2
Jul-79;0
ago/79;0
set/79;0.2
out/79;0.3
Nov-79;0.5
dez/79;0.5
Jan-80;0.6
fev/80;0.6
Mar-80;0.5
abr/80;0.3
mai/80;0.4
Jun-80;0.5
Jul-80;0.5
ago/80;0.3
set/80;0
out/80;-0.1
Nov-80;0
dez/80;0.1
Jan-81;0
fev/81;-0.3
Mar-81;-0.5
abr/81;-0.5
mai/81;-0.4
Jun-81;-0.3
Jul-81;-0.3
ago/81;-0.3
set/81;-0.2
out/81;-0.2
Nov-81;-0.1
dez/81;-0.2
Jan-82;-0.1
fev/82;0
Mar-82;0.1
abr/82;0.2
mai/82;0.5
Jun-82;0.7
Jul-82;0.7
ago/82;0.8
set/82;1.1
out/82;1.6
Nov-82;2
dez/82;2.2
Jan-83;2.2
fev/83;2.2
Mar-83;1.9
abr/83;1.5
mai/83;1.3
Jun-83;1.1
Jul-83;0.7
ago/83;0.3
set/83;-0.1
out/83;-0.5
Nov-83;-0.8
dez/83;-1
Jan-84;-0.9
fev/84;-0.6
Mar-84;-0.4
abr/84;-0.3
mai/84;-0.4
Jun-84;-0.5
Jul-84;-0.4
ago/84;-0.3
set/84;-0.2
out/84;-0.2
Nov-84;-0.6
dez/84;-0.9
Jan-85;-1.1
fev/85;-1
Mar-85;-0.8
abr/85;-0.8
mai/85;-0.8
Jun-85;-0.8
Jul-85;-0.6
ago/85;-0.5
set/85;-0.5
out/85;-0.4
Nov-85;-0.3
dez/85;-0.3
Jan-86;-0.4
fev/86;-0.5
Mar-86;-0.5
abr/86;-0.3
mai/86;-0.2
Jun-86;-0.1
Jul-86;0
ago/86;0.2
set/86;0.4
out/86;0.7
Nov-86;0.9
dez/86;1.1
Jan-87;1.2
fev/87;1.2
Mar-87;1.2
abr/87;1.1
mai/87;0.9
Jun-87;1
Jul-87;1.2
ago/87;1.5
set/87;1.7
out/87;1.6
Nov-87;1.5
dez/87;1.3
Jan-88;1.1
fev/88;0.8
Mar-88;0.5
abr/88;0.1
mai/88;-0.3
Jun-88;-0.9
Jul-88;-1.3
ago/88;-1.3
set/88;-1.1
out/88;-1.2
Nov-88;-1.5
dez/88;-1.8
Jan-89;-1.8
fev/89;-1.7
Mar-89;-1.4
abr/89;-1.1
mai/89;-0.8
Jun-89;-0.6
Jul-89;-0.4
ago/89;-0.3
set/89;-0.3
out/89;-0.2
Nov-89;-0.2
dez/89;-0.2
Jan-90;-0.1
fev/90;-0.9
Mar-90;-0.8
abr/90;-0.6
mai/90;-0.4
Jun-90;-0.3
Jul-90;-0.3
ago/90;-0.3
set/90;-0.3
out/90;-0.4
Nov-90;-0.4
dez/90;-0.4
Jan-91;-0.5
fev/91;-0.5
Mar-91;-0.4
abr/91;-0.1
mai/91;0.3
Jun-91;0.8
Jul-91;1.2
ago/91;1.6
set/91;1.9
out/91;2.1
Nov-91;2.3
dez/91;2.4
Jan-92;2.4
fev/92;2.2
Mar-92;1.9
abr/92;1.4
mai/92;1
Jun-92;0.5
Jul-92;-0.1
ago/92;-0.8
set/92;-1.1
out/92;-1.3
Nov-92;-1.4
dez/92;-1.5
Jan-93;-1.6
fev/93;-1.5
Mar-93;-1.3
abr/93;-1.1
mai/93;-1
Jun-93;-1
Jul-93;-1
ago/93;-1.1
set/93;-1.1
out/93;-1.2
Nov-93;-1.3
dez/93;-1.5
Jan-94;-1.7
fev/94;0.1
Mar-94;0.2
abr/94;0.3
mai/94;0.3
Jun-94;0.3
Jul-94;0.3
ago/94;0.3
set/94;0.4
out/94;0.4
Nov-94;0.3
dez/94;0.4
Jan-95;0.4
fev/95;0.4
Mar-95;0.3
abr/95;0.2
mai/95;0.3
Jun-95;0.5
Jul-95;0.6
ago/95;0.7
set/95;0.6
out/95;0.6
Nov-95;0.8
dez/95;1.2
Jan-96;1.5
fev/96;1.7
Mar-96;1.6
abr/96;1.5
mai/96;1.3
Jun-96;1.1
Jul-96;0.7
ago/96;0.4
set/96;0.1
out/96;-0.1
Nov-96;-0.2
dez/96;-0.3
Jan-97;-0.1
fev/97;0.1
Mar-97;0.3
abr/97;0.5
mai/97;0.7
Jun-97;0.7
Jul-97;0.6
ago/97;0.3
set/97;0.3
out/97;0.2
Nov-97;0.1
dez/97;0
Jan-98;0.1
fev/98;0.1
Mar-98;0.1
abr/98;0.2
mai/98;0.3
Jun-98;0.4
Jul-98;0.4
ago/98;0.4
set/98;0.4
out/98;0.6
Nov-98;0.7
dez/98;1
Jan-99;1.1
fev/99;1
Mar-99;0.7
abr/99;0.5
mai/99;0.3
Jun-99;0.1
Jul-99;0
ago/99;-0.2
set/99;-0.5
out/99;-0.8
Nov-99;-1
dez/99;-1
Jan-00;-1
fev/00;-1.7
Mar-00;-1.4
abr/00;-1.1
mai/00;-0.8
Jun-00;-0.7
Jul-00;-0.6
ago/00;-0.6
set/00;-0.5
out/00;-0.5
Nov-00;-0.6
dez/00;-0.7
1-Jan;-0.7
fev/01;-0.7
1-Mar;-0.5
abr/01;-0.4
mai/01;-0.3
1-Jun;-0.3
1-Jul;-0.1
ago/01;-0.1
set/01;-0.1
out/01;-0.2
1-Nov;-0.3
dez/01;-0.3
2-Jan;-0.3
fev/02;-0.1
2-Mar;0
abr/02;0.1
mai/02;0.2
2-Jun;0.4
2-Jul;0.7
ago/02;0.8
set/02;0.9
out/02;1
2-Nov;1.2
dez/02;1.3
3-Jan;1.1
fev/03;0.9
3-Mar;0.6
abr/03;0.4
mai/03;0
3-Jun;-0.3
3-Jul;-0.2
ago/03;0.1
set/03;0.2
out/03;0.3
3-Nov;0.3
dez/03;0.4
4-Jan;0.4
fev/04;0.4
4-Mar;0.3
abr/04;0.2
mai/04;0.2
4-Jun;0.2
4-Jul;0.3
ago/04;0.5
set/04;0.6
out/04;0.7
4-Nov;0.7
dez/04;0.7
5-Jan;0.7
fev/05;0.6
5-Mar;0.6
abr/05;0.4
mai/05;0.4
5-Jun;0.3
5-Jul;0.1
ago/05;-0.1
set/05;-0.1
out/05;-0.1
5-Nov;-0.3
dez/05;-0.6
6-Jan;-0.8
fev/06;-0.8
6-Mar;-0.7
abr/06;-0.5
mai/06;-0.3
6-Jun;0
6-Jul;0
ago/06;0.1
set/06;0.3
out/06;0.5
6-Nov;0.7
dez/06;0.9
7-Jan;0.9
fev/07;0.7
7-Mar;0.3
abr/07;0
mai/07;-0.2
7-Jun;-0.3
7-Jul;-0.4
ago/07;-0.5
set/07;-0.8
out/07;-1.1
7-Nov;-1.4
dez/07;-1.5
8-Jan;-1.6
fev/08;-1.6
8-Mar;-1.4
abr/08;-1.2
mai/08;-0.9
8-Jun;-0.8
8-Jul;-0.5
ago/08;-0.4
set/08;-0.3
out/08;-0.3
8-Nov;-0.4
dez/08;-0.6
9-Jan;-0.7
fev/09;-0.8
9-Mar;-0.7
abr/09;-0.5
mai/09;-0.2
9-Jun;0.1
9-Jul;0.4
ago/09;0.5
set/09;0.5
out/09;0.7
9-Nov;1
dez/09;1.3
10-Jan;1.6
fev/10;1.5
10-Mar;1.3
abr/10;0.9
mai/10;0.4
10-Jun;-0.1
10-Jul;-0.6
ago/10;-1
set/10;-1.4
out/10;-1.6
10-Nov;-1.7
dez/10;-1.7
11-Jan;-1.6
fev/11;-1.4
11-Mar;-1.1
abr/11;-0.8
mai/11;-0.6
11-Jun;-0.5
11-Jul;-0.4
ago/11;-0.5
set/11;-0.7
out/11;-0.9
11-Nov;-1.1
dez/11;-1.1
12-Jan;-1
fev/12;-0.8
12-Mar;-0.6
abr/12;-0.5
mai/12;-0.4
12-Jun;-0.2
12-Jul;0.1
ago/12;0.3
set/12;0.3
out/12;0.3
12-Nov;0.2
dez/12;0
13-Jan;-0.2
fev/13;-0.4
13-Mar;-0.3
abr/13;-0.2
mai/13;-0.2
13-Jun;-0.3
13-Jul;-0.3
ago/13;-0.4
set/13;-0.4
out/13;-0.3
13-Nov;-0.2
dez/13;-0.2
14-Jan;-0.3
fev/14;-0.4
14-Mar;-0.4
abr/14;-0.2
mai/14;0.1
14-Jun;0.3
14-Jul;0.2
ago/14;0.1
set/14;0
out/14;0.2
14-Nov;0.4
dez/14;0.6
15-Jan;0.7
fev/15;0.6
15-Mar;0.6
abr/15;0.6
mai/15;0.8
15-Jun;1
15-Jul;1.2
ago/15;1.5
set/15;1.8
out/15;2.1
15-Nov;2.4
dez/15;2.5
16-Jan;2.6
fev/16;2.5
16-Mar;2.2
abr/16;1.7
mai/16;1
16-Jun;0.5
16-Jul;0
ago/16;-0.3
set/16;-0.6
out/16;-0.7
16-Nov;-0.7
dez/16;-0.7
17-Jan;-0.6
fev/17;-0.3
17-Mar;-0.1
abr/17;0.1
mai/17;0.3
17-Jun;0.4
17-Jul;0.4
ago/17;0.2
set/17;-0.1
out/17;-0.4
17-Nov;-0.7
dez/17;-0.9
