date;target
1;1993
2;1693
3;2084
4;1978
5;1870
6;1732
7;2102
8;1766
9;1684
10;1810
11;1631
12;1969
13;1873
14;1936
15;1611
16;2021
17;1673
18;1779
19;1781
20;2034
21;1879
22;1702
23;1909
24;1734
25;1848
26;1563
27;2399
28;1745
29;1856
30;1809
31;1692
32;1834
33;2052
34;1769
35;1719
36;2233
37;2083
38;1998
39;1363
40;1765
41;1825
42;1835
43;1599
44;1671
45;1637
46;1703
47;1178
48;1349
49;1515
50;1410
51;1436
52;1452
53;1838
54;1195
55;1583
56;1730
57;1539
58;1718
59;1260
60;1335
61;1548
62;900
63;1727
64;2110
65;1565
66;1588
67;1613
68;1604
69;1594
70;1316
71;1372
72;1189
73;1590
74;366
