date;target
1;523
2;387
3;394
4;431
5;582
6;422
7;389
8;588
9;446
10;704
11;673
12;466
13;483
14;436
15;630
16;721
17;494
18;890
19;567
20;734
21;810
22;478
23;693
24;411
25;757
26;512
27;1118
28;601
29;575
30;700
31;481
32;892
33;426
34;777
35;671
36;426
37;641
38;418
39;279
40;524
41;681
42;443
43;431
44;452
45;396
46;634
47;439
48;340
49;409
50;513
51;467
52;394
53;395
54;324
55;333
56;439
57;423
58;394
59;320
60;357
61;465
62;279
63;201
64;227
65;421
66;362
67;273
68;259
69;174
70;262
71;330
72;217
73;275
74;78
