date;target
1;1899
2;3878
3;2893
4;1745
5;2860
6;2376
7;3686
8;3863
9;3770
10;3305
11;2758
12;3301
13;2943
14;3417
15;5175
16;2908
17;4466
18;4702
19;4989
20;5166
21;4178
22;3867
23;6239
24;3696
25;3633
26;3383
27;2851
28;3627
29;3832
30;3934
31;2995
32;6034
33;4270
34;3562
35;5413
36;5554
37;5518
38;4631
39;6006
40;5889
41;6748
42;7996
43;7071
44;5077
45;6038
46;8319
47;4952
48;7382
49;7304
50;6360
51;7762
52;6399
53;6121
54;5630
55;7338
56;5715
57;4932
58;7090
59;5135
60;6118
61;2269
62;6468
63;5720
64;6574
65;9880
66;7920
67;8462
68;7941
69;8167
70;5657
71;7918
72;3877
73;6616
74;308
