date;target
1;1262
2;892
3;1269
4;924
5;1092
6;945
7;1267
8;1179
9;986
10;1406
11;884
12;1400
13;1167
14;1043
15;1307
16;1505
17;1466
18;1665
19;1783
20;1524
21;1552
22;1295
23;1373
24;1378
25;1224
26;1025
27;1447
28;958
29;1500
30;1103
31;1186
32;1002
33;1297
34;1314
35;1144
36;1354
37;1357
38;1038
39;1084
40;1160
41;1178
42;1279
43;1235
44;1232
45;1310
46;1093
47;874
48;901
49;1161
50;855
51;1080
52;888
53;1390
54;1070
55;823
56;1013
57;1349
58;1492
59;1028
60;1257
61;1372
62;934
63;1604
64;1438
65;1715
66;1485
67;1473
68;1493
69;971
70;1345
71;1189
72;825
73;935
74;201
