date;target
1;313
2;654
3;1238
4;430
5;902
6;1037
7;1352
8;607
9;1903
10;1082
11;1713
12;1372
13;962
14;1164
15;1477
16;1589
17;1786
18;1839
19;1042
20;1144
21;1006
22;691
23;1638
24;447
25;543
26;1490
27;697
28;747
29;1103
30;721
31;1018
32;1191
33;907
34;774
35;1071
36;357
37;965
38;1415
39;395
40;667
41;1249
42;940
43;1632
44;321
45;1010
46;1467
47;399
48;756
49;1264
50;392
51;1393
52;373
53;252
54;1378
55;854
56;1330
57;622
58;1154
59;168
60;203
61;299
62;1356
63;505
64;560
65;1453
66;1441
67;847
68;345
69;171
70;354
71;1126
72;321
73;1185
74;7
