time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/63;16075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/63;16037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/63;14464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/63;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/63;12830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/63;12526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/64;13941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/64;13641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/64;16779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/64;15439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/64;17209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/64;16431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/64;17187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/64;16510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/64;15409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/64;15056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/64;13080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/64;13025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/65;14007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/65;13791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/65;16702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/65;15722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/65;16995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/65;16601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/65;17059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/65;16229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/65;15588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/65;15527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/65;13770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/65;13196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/66;19054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/66;16627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/66;21018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/66;17963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/66;20989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/66;19841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/66;19971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/66;20783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/66;19630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/66;17693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/66;15736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/66;15304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/67;14222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/67;14601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/67;19034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/67;17009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/67;19832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/67;21250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/67;20881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/67;23275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/67;19287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/67;21735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/67;18486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/67;15875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/68;13647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/68;18986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/68;22557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/68;22854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/68;24722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/68;22218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/68;26643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/68;24973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/68;24729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
