date;conf_acu;target;deaths_acu;deaths_inc
01/09/2020;127287;1748;7614;21
02/09/2020;128724;1437;7656;42
03/09/2020;130199;1475;7619;-37
04/09/2020;131230;1031;7645;26
05/09/2020;131961;731;7670;25
06/09/2020;132152;191;7702;32
07/09/2020;132420;268;7721;19
08/09/2020;132590;170;7741;20
09/09/2020;133579;989;7764;23
10/09/2020;134619;1040;7792;28
11/09/2020;135643;1024;7817;25
12/09/2020;136413;770;7852;35
13/09/2020;136672;259;7874;22
14/09/2020;136853;181;7888;14
15/09/2020;137869;1016;7914;26
16/09/2020;138568;699;7933;19
17/09/2020;139325;757;7954;21
18/09/2020;140235;910;7971;17
19/09/2020;141042;807;8004;33
20/09/2020;141517;475;8016;12
21/09/2020;141777;260;8025;9
22/09/2020;142488;711;8055;30
23/09/2020;143165;677;8085;30
24/09/2020;143703;538;8110;25
25/09/2020;144268;565;8129;19
26/09/2020;144940;672;8156;27
27/09/2020;145016;76;8174;18
28/09/2020;145096;80;8190;16
29/09/2020;146325;1229;8222;32
30/09/2020;147171;846;8251;29
01/10/2020;147872;701;8279;28
02/10/2020;148737;865;8299;20
03/10/2020;149349;612;8318;19
04/10/2020;149417;68;8333;15
05/10/2020;149454;37;8340;7
06/10/2020;150217;763;8356;16
07/10/2020;151139;922;8379;23
08/10/2020;151736;597;8387;8
09/10/2020;152414;678;8397;10
10/10/2020;152998;584;8408;11
11/10/2020;153144;146;8411;3
12/10/2020;153222;78;8414;3
13/10/2020;153299;77;8417;3
14/10/2020;154041;742;8438;21
15/10/2020;154866;825;8456;18
16/10/2020;155520;654;8469;13
17/10/2020;155923;403;8480;11
18/10/2020;156029;106;8487;7
19/10/2020;156130;101;8490;3
20/10/2020;156794;664;8505;15
21/10/2020;157418;624;8519;14
22/10/2020;157777;359;8527;8
23/10/2020;158496;719;8531;4
24/10/2020;159220;724;8542;11
25/10/2020;159377;157;8552;10
26/10/2020;159476;99;8564;12
27/10/2020;160354;878;8575;11
