date;target
1;1589
2;1324
3;1142
4;936
5;1243
6;1047
7;1567
8;1355
9;1842
10;1758
11;1610
12;1582
13;1422
14;1635
15;2079
16;1561
17;1110
18;1623
19;1278
20;1416
21;2281
22;1479
23;2077
24;1091
25;1684
26;1782
27;1793
28;1797
29;1355
30;1774
31;1110
32;1816
33;1003
34;1619
35;1060
36;1041
37;1498
38;816
39;1063
40;1065
41;1242
42;1348
43;1160
44;863
45;1201
46;1327
47;1056
48;1541
49;1204
50;719
51;1087
52;1048
53;1395
54;1537
55;1188
56;1265
57;770
58;1443
59;648
60;641
61;1011
62;793
63;768
64;985
65;1846
66;1697
67;981
68;885
69;322
70;1087
71;938
72;804
73;751
74;96
