date;target
1;957
2;889
3;905
4;668
5;940
6;620
7;1067
8;535
9;1152
10;621
11;609
12;1557
13;665
14;672
15;642
16;708
17;614
18;596
19;624
20;528
21;579
22;633
23;796
24;415
25;774
26;567
27;619
28;715
29;733
30;383
31;478
32;421
33;661
34;656
35;448
36;760
37;846
38;635
39;239
40;586
41;525
42;865
43;615
44;475
45;450
46;526
47;309
48;513
49;430
50;518
51;480
52;330
53;567
54;435
55;379
56;377
57;474
58;730
59;366
60;574
61;446
62;378
63;413
64;623
65;495
66;685
67;601
68;526
69;718
70;338
71;407
72;385
73;502
74;32
