time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/04/2015;12,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2015;12,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2015;13,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2015;13,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2015;14,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2015;13,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/05/2015;13,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/05/2015;13,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2015;13,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/05/2015;13,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/05/2015;13,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/05/2015;13,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/05/2015;14,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2015;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/05/2015;12,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/05/2015;12,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/05/2015;13,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/05/2015;13,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/05/2015;12,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/05/2015;12,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/05/2015;12,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/05/2015;12,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/05/2015;12,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/06/2015;12,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/06/2015;12,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/06/2015;12,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/06/2015;12,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/06/2015;12,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/06/2015;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/06/2015;13,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/06/2015;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/06/2015;13,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/06/2015;13,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/06/2015;13,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/06/2015;13,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/06/2015;13,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/06/2015;13,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/06/2015;13,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/06/2015;12,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
